(has gem1),(has gem2),(has gem3)
0.33333333333333354,0.33333333333333354,0.33333333333333354
0.33333333333333354,0.33333333333333354,0.33333333333333354
0.42386035158772717,0.32084684805686525,0.25529280035540775
0.4754139288634039,0.3041372270709596,0.22044884406563636
0.5456598616450736,0.3135135759787851,0.1408265623761413
0.6048195202574028,0.30046035348955485,0.09472012625304198
0.6264999072969899,0.3122894905179312,0.061210602185078664
0.5675347860244184,0.38466148276187834,0.04780373121370327
0.6416666666666668,0.3583333333333336,0.0
0.6416666666666668,0.3583333333333336,0.0
0.625200339981331,0.37479966001866943,0.0
0.6137334454123543,0.38626655458764564,0.0
0.6101777864595883,0.3898222135404118,0.0
0.6454850015503502,0.3545149984496503,0.0
0.65600535002844,0.34399464997156015,0.0
0.6858036286034769,0.3141963713965231,0.0
0.7110642500321491,0.28893574996785093,0.0
0.7081574012111844,0.2918425987888156,0.0
0.6819621528988767,0.3180378471011234,0.0
0.7,0.3000000000000001,0.0
0.7058347800216057,0.29416521997839373,0.0
0.6934255309054206,0.3065744690945797,0.0
0.5856373258110308,0.4143626741889684,0.0
0.5166666666666673,0.483333333333334,0.0
0.6047102045958379,0.3952897954041626,0.0
0.7046531664955261,0.29534683350447377,0.0
0.8159934041537601,0.18400659584624085,0.0
0.9259040206414451,0.0740959793585548,0.0
0.9916666666666656,0.008333333333333333,0.0
0.9988202013467227,0.0011797986532756845,0.0
0.9998201150916514,0.0001798849083485095,0.0
0.9999986882955263,1.3117044719453918e-6,0.0
0.9999999729619126,2.7038087353786834e-8,0.0
0.999999999995992,4.009044319690501e-12,0.0
1.0,5.316089491798096e-19,0.0
0.9999999999999991,1.2430238392545667e-25,0.0
0.9999999999999989,0.0,0.0
0.9999999999999989,0.0,0.0
0.9999999999999978,0.0,0.0
0.9999999999999988,0.0,0.0
1.0000000000000004,0.0,0.0
0.9999999999999991,0.0,0.0
1.0000000000000004,0.0,0.0
0.9999999999999997,0.0,0.0
0.9999999999999999,0.0,0.0
0.9999999999999989,0.0,0.0
0.9999999999999978,0.0,0.0
0.999999999999999,0.0,0.0
1.0000000000000007,0.0,0.0
0.9999999999999998,0.0,0.0
0.9999999999999991,0.0,0.0
0.9999999999999989,0.0,0.0
0.9999999999999987,0.0,0.0
1.0,0.0,0.0
0.9999999999999989,0.0,0.0
