(has gem1),(has gem2),(has gem3)
0.33333333333333354,0.33333333333333354,0.33333333333333354
0.33333333333333354,0.33333333333333354,0.33333333333333354
0.39778400025981825,0.35384036371903305,0.24837563602114887
0.4697260681141351,0.37137320986921724,0.1589007220166486
0.5555799137970493,0.35503089250423875,0.08938919369871225
0.6132306153389652,0.3413998153346672,0.04536956932636832
0.6197054747323373,0.34021569455334405,0.04007883071431904
0.5731740772626261,0.4179637412995986,0.008862181437775517
0.5833333333333337,0.41666666666666713,0.0
0.5833333333333337,0.41666666666666713,0.0
0.5926922939017731,0.4073077060982264,0.0
0.5752541382764527,0.4247458617235473,0.0
0.5898128939831847,0.4101871060168159,0.0
0.6091668917838754,0.39083310821612466,0.0
0.6163958483551935,0.38360415164480655,0.0
0.6448130937175702,0.35518690628242977,0.0
0.591666666666667,0.40833333333333377,0.0
0.5905431130534505,0.4094568869465499,0.0
0.6676186898848734,0.3323813101151265,0.0
0.7,0.3000000000000001,0.0
0.8158168144817065,0.18418318551829227,0.0
0.9010417491685345,0.0989582508314637,0.0
0.9292727230421177,0.0707272769578818,0.0
0.9512016344329877,0.04879836556701212,0.0
0.9667693250608432,0.033230674939156886,0.0
0.9916666666666656,0.008333333333333333,0.0
0.9999776143829648,2.238561703427507e-5,0.0
0.9999999623617587,3.7638241377002655e-8,0.0
0.9999999999772874,2.271378708409247e-11,0.0
0.9999999999999989,0.0,0.0
