(has gem1),(has gem2),(has gem3)
0.33333333333333354,0.33333333333333354,0.33333333333333354
0.4918959154333624,0.09334672258734372,0.4147573619792943
0.5546725065344,0.0029253024596731865,0.4424021910059275
0.6169118353465556,1.0058272565629184e-7,0.3830880640707183
0.5071685646347853,2.1906073700031105e-15,0.492831435365212
0.175,0.0,0.8249999999999995
0.06666666666666667,0.0,0.9333333333333325
0.0851745643233983,0.0,0.9148254356766001
0.16722165490115584,0.0,0.8327783450988445
0.3833333333333337,0.0,0.6166666666666669
0.5597512323138277,0.0,0.4402487676861719
0.6688539122163835,0.0,0.3311460877836159
0.9087216314016208,0.0,0.09127836859837835
0.9792339818765969,0.0,0.02076601812340384
0.9985113464512003,0.0,0.0014886535487990565
0.999990908227621,0.0,9.09177237863193e-6
0.9999999978058031,0.0,2.194197808120782e-9
0.9999999999999987,0.0,1.7014373053115839e-15
