(has gem1),(has gem2),(has gem3)
0.3350000000000002,0.3300000000000002,0.3350000000000002
0.4106261585154339,0.2805782375231276,0.30879560396143857
0.49255675136581195,0.2501099826944856,0.2573332659397021
0.6124168237276947,0.18620454338103398,0.2013786328912717
0.6950000000000005,0.13500000000000004,0.17000000000000007
0.8194970119781371,0.08702120719653646,0.09348178082532899
0.8414731321962592,0.08440391713802908,0.07412295066571258
0.9950000000000008,0.005,0.0
0.9950000000000008,0.005,0.0
0.9925371694237012,0.007462830576296059,0.0
0.9985487661641804,0.0014512338358170617,0.0
0.9997626399623808,0.00023736003761928122,0.0
0.9999616826296266,3.8317370371865304e-5,0.0
0.999999702890031,2.9710997065349263e-7,0.0
1.0000000000000007,0.0,0.0
1.0000000000000018,0.0,0.0
0.9999999999999969,0.0,0.0
1.0000000000000022,0.0,0.0
1.0000000000000009,0.0,0.0
0.9999999999999997,0.0,0.0
1.0000000000000007,0.0,0.0
1.000000000000002,0.0,0.0
0.999999999999999,0.0,0.0
0.9999999999999988,0.0,0.0
1.0000000000000024,0.0,0.0
